0.01000,23.04100
0.02000,69.12400
0.03000,643.47200
0.04000,3784.74700
0.05000,5031.28900
0.06000,4954.16500
0.07000,4986.24700
0.08000,5041.10000
0.09000,5134.83600
0.09900,5224.62600
0.10700,5303.45500
0.11300,5372.51300
0.12000,5429.82700
0.12600,5462.52500
0.13100,5490.79700
0.13600,5517.31200
0.14400,5549.46000
0.15500,5597.91600
0.17200,5683.57600
0.19800,5784.43800
0.23700,5854.76200
0.28700,5961.49600
0.33700,6082.11100
0.38700,6202.72600
0.43700,6312.68800
0.48700,6396.66800
0.53700,6479.47300
0.58700,6562.27700
0.63700,6644.96500
0.68700,6727.37000
0.73700,6809.76200
0.78700,6892.15400
0.83700,6966.06800
0.88700,7017.84700
0.93700,7067.87900
0.98700,7091.67500
1.03700,7095.31100
1.08700,7080.71000
1.13700,7049.05100
1.18700,6949.12800
1.23700,6779.02000
1.28700,6606.01100
1.33700,6413.59700
1.38700,6165.99100
1.43700,5964.29800
1.48700,5511.35300
1.53700,3296.33300
1.58700,1143.54700
1.63700,304.12600
1.68700,69.62600
1.73600,20.95300
